Qual é o objetivo da Estratégia Nacional de Educação Financeira (ENEF)?,Oferecer ao jovem estudante a formação necessária para tomar decisões financeiras conscientes e sustentáveis.
Qual comitê recebeu a responsabilidade de definir planos e coordenar a execução da ENEF?,O Comitê Nacional de Educação Financeira (CONEF).
O que o ícone 'Responsabilidade Socioambiental' destaca no material de Educação Financeira?,"A relação entre a Educação Financeira e a responsabilidade com a sociedade e o meio ambiente, como evitar desperdícios."
Qual é o papel do 'Aluno Multiplicador' conforme descrito no material?,"Atuar como disseminador de informações, saberes e práticas financeiras para familiares e outras pessoas."
O que o ícone 'Tomada de Decisão Autônoma' indica ao longo das Situações Didáticas (SDs)?,Indica uma situação na qual o aluno poderá tomar suas próprias decisões financeiras com base em sua análise pessoal e familiar.
"No contexto da gestão financeira familiar, como são classificadas despesas como aluguel e mensalidade escolar?","São classificadas como despesas fixas, pois seus valores não costumam variar de um mês para o outro."
"Despesas com supermercado, conta de luz e gás são exemplos de que tipo de despesa?","São exemplos de despesas variáveis, pois seus valores podem mudar a cada mês dependendo do consumo."
A compra de material escolar no início do ano é um exemplo de que tipo de despesa?,"É um exemplo de despesa eventual ou extraordinária, pois não ocorre todos os meses."
O que é o Custo Efetivo Total (CET) de um empréstimo ou financiamento?,"É uma taxa percentual anual que inclui juros, tarifas, impostos e outros encargos, mostrando o custo real da operação."
Qual é a principal vantagem de comparar o _____ de diferentes instituições financeiras antes de tomar um empréstimo?,CET (Custo Efetivo Total)
Por que fazer compras de supermercado com fome pode levar a gastos maiores?,"Porque a fome pode levar à compra de mais itens do que o necessário, especialmente supérfluos, por impulso."
Qual estratégia simples ajuda a manter o controle e a disciplina nas compras de supermercado?,"Levar sempre uma lista de compras, que funciona de forma parecida a um orçamento."
Onde os supermercados costumam posicionar os produtos mais caros e supérfluos?,"Costumam posicioná-los ao alcance dos olhos e das mãos dos clientes, nas prateleiras de altura média."
Conceito: Orçamento Doméstico,"É um guia que ajuda a planejar e controlar receitas e despesas para atingir objetivos de vida, e não uma camisa de força."
O que é um sinistro no contexto de um contrato de seguro?,"É a ocorrência do risco coberto pelo seguro durante sua vigência, como um roubo de carro ou um incêndio na casa."
"Em um contrato de seguro, o valor que o segurado paga à seguradora para ter direito à indenização é chamado de _____.",prêmio
Conceito: Apólice de Seguro,"É o documento que formaliza o contrato de seguro, estabelecendo os direitos e as obrigações da seguradora e do segurado."
Qual órgão governamental no Brasil autoriza e fiscaliza as seguradoras?,A Superintendência de Seguros Privados (SUSEP).
Por que o preço de um seguro de automóvel pode ser mais caro em uma cidade com alto índice de roubos?,"Porque a probabilidade de ocorrência do sinistro (roubo) é maior, aumentando o risco assumido pela seguradora."
"Qual é o termo usado para o acontecimento que causa o prejuízo (roubo, acidente, incêndio) e que está coberto pelo contrato de seguro?",Sinistro.
O que significa dizer que uma receita é 'variável'?,"Significa que seu valor pode mudar a cada período, como ganhos de um trabalho autônomo ou comissões por vendas."
"Segundo as teorias das Finanças Comportamentais, o que guia muitas de nossas decisões financeiras irracionais?","As emoções, que nos levam a tomar decisões que não fariam sentido se pensadas de modo objetivo."
"Na organização de um evento em grupo, como um churrasco, qual foi a condição imposta por Hugo para evitar prejuízos?",Receber o dinheiro de todos os participantes antes de ir fazer as compras.
"O que é necessário para fazer uma estimativa de custos, diferenciando-a de um simples 'chute'?","É preciso ter um método, contando com a experiência prévia como comprador ou fazendo uma pesquisa de preços."
"O que é a taxa de juros, em termos simples?","É o preço do dinheiro, ou seja, o custo de um empréstimo ou a remuneração de um investimento."
"Se um investimento rendeu 10% em um ano, mas a inflação no mesmo período foi de 6%, qual é a taxa de juros real?","A taxa de juros real é a taxa nominal descontada da inflação, sendo aproximadamente 4%."
Qual é a relação entre risco e retorno nos investimentos?,"Geralmente, quanto maior o risco de um investimento, maior o potencial de retorno, e vice-versa."
Por que a caderneta de poupança é considerada um investimento seguro?,Porque possui a garantia do Fundo Garantidor de Créditos (FGC) até um determinado valor por CPF em cada instituição.
Qual é o principal risco de não pagar a fatura completa do cartão de crédito e entrar no crédito rotativo?,"O pagamento de juros muito altos sobre o saldo devedor, o que pode transformar uma pequena dívida em uma grande."
"Além dos juros, qual outra despesa fixa está associada ao uso de cartões de crédito?","A anuidade, que é uma tarifa cobrada pela administradora do cartão."
"Em um planejamento financeiro para um evento como um acampamento, por que é importante separar dinheiro para imprevistos?","Porque podem ocorrer gastos não planejados, como a necessidade de comprar algo na cidade ou alguém se machucar."
"No planejamento de um evento, como uma festa junina, qual é o sétimo e último item a ser considerado para seu sucesso?","A divulgação, para que as pessoas fiquem sabendo da festa (cartazes, rádio, boca a boca, etc.)."
O que a taxa de empreendedores iniciais no Brasil indica sobre a população mais jovem?,Indica que a população jovem no Brasil é relativamente mais ativa em relação ao empreendedorismo em comparação a outros países.
Qual é a diferença fundamental entre um financiamento e um empréstimo comum?,"O financiamento está vinculado à aquisição de um bem ou serviço específico, enquanto o empréstimo comum não tem destinação obrigatória."
"De acordo com o Código de Defesa do Consumidor, o que é ilegal em relação à exibição de preços nas lojas?",É ilegal não exibir o preço à vista do produto de forma clara e visível para o consumidor.
Por que se deve pesquisar e comparar preços e modelos de um produto antes de comprá-lo?,"Para encontrar o produto com o melhor custo-benefício, ou seja, a melhor qualidade pelo menor preço de acordo com suas necessidades."
O que é uma compra impulsiva?,"É uma compra não planejada, feita sem necessidade real, muitas vezes guiada por emoções ou apelos publicitários."
Quais são as 3 perguntas do teste do 'SIM' para evitar uma compra impulsiva?,1) Preciso? 2) Tenho dinheiro? 3) Tem que ser hoje?
Qual é a consequência de escolher um plano de celular com mais minutos do que você realmente usa?,"Gera um desperdício de dinheiro, pois você paga por um serviço que não utiliza integralmente."
"Qual é o prazo da garantia legal para reclamar de vícios aparentes em produtos duráveis, como um computador?",O consumidor tem noventa dias para reclamar.
"Se o vício de um produto é oculto, a partir de quando começa a contar o prazo da garantia legal?",O prazo começa a contar a partir do momento em que o problema é identificado pelo consumidor.
Qual direito o consumidor tem se for cobrado em quantia indevida e já tiver efetuado o pagamento?,"Ele tem direito a receber, em dobro, o valor pago em excesso, acrescido de juros e correção monetária."
Qual é a função do PROCON?,"É um órgão estadual ou municipal que executa a política das relações de consumo, atendendo demandas e fiscalizando estabelecimentos."
"O envio de produtos, como cartões de crédito, sem solicitação prévia do consumidor é considerado uma _____.",prática abusiva
Conceito: Taxa de Câmbio,"É a proporção de conversão entre duas moedas, indicando quanto de uma moeda é necessário para comprar uma unidade de outra."
O que é a balança comercial de um país?,É a diferença entre o valor total de suas exportações e o valor total de suas importações em um determinado período.
Quando a balança comercial de um país é considerada superavitária?,Quando o valor das exportações é maior que o valor das importações.
"O fenômeno psicológico em que ficamos 'marcados' por um número ou valor, influenciando decisões futuras, é chamado de _____.",ancoragem
"A estratégia de preços como R$ 9,99, que nos faz focar no primeiro dígito, é um exemplo do fenômeno psicológico chamado _____.",enquadramento
"Se o seu planejamento de cortes de despesas não for suficiente para realizar um sonho, qual é a outra alternativa?","Pensar em maneiras de aumentar suas receitas, como oferecer serviços ou produtos com base em suas habilidades."
Conceito: Conta Poupança,"É uma opção tradicional e segura de poupar, com remuneração de juros e garantia do governo até certo valor."
O que são empréstimos consignados?,São empréstimos em que o pagamento das parcelas é descontado diretamente do salário ou aposentadoria do tomador.
Por que os juros dos empréstimos consignados costumam ser mais baixos?,"Porque a segurança no recebimento das prestações é maior para o banco, diminuindo o risco de inadimplência."
O que significa inadimplência?,"É o descumprimento de um contrato, como deixar de pagar as parcelas de um empréstimo ou financiamento."
O que é um investimento?,"É a destinação de dinheiro para a ampliação da riqueza e do patrimônio, buscando um retorno futuro."
O que é a taxa nominal de juros?,"É a taxa que o banco paga por um investimento ou cobra por um empréstimo, sem descontar o efeito da inflação."
"Qual o nome da entidade que defende os direitos e interesses da coletividade de consumidores, ajuizando ações civis públicas?",Ministério Público.
Para que servem os Juizados Especiais Cíveis (JEC)?,Servem para solucionar conflitos de consumo cujos valores envolvidos não ultrapassem 40 salários mínimos.
"O que é um serviço, em oposição a uma mercadoria?","É qualquer atividade cujo resultado não é tangível (não pode ser tocado), como aulas, consertos ou consultas."
"Se uma loja se recusa a vender um produto que tem em estoque sem um motivo legal, que direito do consumidor está sendo violado?","O direito de não ter a demanda recusada, o que é considerado uma prática abusiva."
O que o consumidor deve fazer se o fornecedor executar um serviço sem sua autorização prévia?,"O consumidor não é obrigado a pagar, pois o fornecedor deve fornecer um orçamento prévio para aprovação."
A venda de produtos ou serviços sem as especificações legais exigidas por agências reguladoras é uma prática que viola a _____ e _____ dos consumidores.,"segurança, saúde"
O que é o 'spread' bancário?,É a diferença entre a taxa de juros que os bancos pagam para captar recursos e a taxa que cobram em empréstimos.
"Qual é a definição de curto prazo, médio prazo e longo prazo, segundo a escala sugerida para planos familiares?",Curto prazo: 1 a 2 anos; médio prazo: 3 a 9 anos; longo prazo: acima de 10 anos.
O que significa 'exportação' no contexto do comércio internacional?,É a venda de produtos ou serviços produzidos em um país para usuários residentes no exterior.
O que significa 'importação' no contexto do comércio internacional?,É a compra de produtos ou serviços feitos no estrangeiro para serem consumidos no país.
O que é a Defensoria Pública e a quem ela presta assistência?,Presta assistência e orientação jurídica aos consumidores que não têm condições de pagar por um advogado.
O que o consumidor deve fazer ao formalizar uma reclamação junto ao fornecedor para ter comprovação?,"Deve formalizar a reclamação por escrito (e-mail, carta registrada) e obter o número de protocolo do atendimento."
Qual é o primeiro passo para cortar despesas de forma eficaz?,"Estabelecer uma meta de quanto dinheiro precisa ser cortado e, em seguida, listar e categorizar todas as despesas atuais."
"De acordo com a pesquisa GEM citada, qual área o Brasil precisa melhorar em relação ao empreendedorismo?","Precisa melhorar em inovação, pois poucos empreendedores afirmam que seus produtos são novos para os clientes."
"Qual é a principal função do Comitê de Regulação e Fiscalização dos Mercados Financeiro, de Capitais, de Seguros, de Previdência e Capitalização (COREMEC)?",Promover a coordenação e o aprimoramento da atuação das entidades federais que regulam e fiscalizam a captação de poupança popular.
O que significa a sigla CDC?,Código de Defesa do Consumidor.
"Para formalizar uma reclamação sobre serviços financeiros não resolvida pelo banco, qual é o próximo passo antes de procurar o PROCON?","Levar a demanda à ouvidoria da instituição financeira e, se não resolvida, ao Banco Central."
"O Decreto do SAC (Nº 6.523/2008) estabelece que o pedido de cancelamento de um serviço, como cartão de crédito, deve ser processado _____.",imediatamente
Em que situação a balança comercial de um país é considerada deficitária?,Quando o valor das importações é maior que o valor das exportações.